ONG,TÍTULO PROYECTO,TIPOLOGÍA,PAÍS,AÑO DE EJECUCIÓN,SUBVENCIÓN €
ASOCIACIÓN CULTURALNUEVO ENCUENTRO DE MADRID,INTEGRACIÓN DE MENORES INMIGRANTES EN SITUACIÓN DE RIESGO SOCIAL.,Sensibilización / Educación para el Desarrollo,Madrid,2002,"9.000,00"
ASOCIACIÓNREDDEAPOYOALAINSERCIÓNSOCIO-LABORAL.RAIS,PLANGENERALDEACCIONSOCIALPARAPERSONASSINHOGAR(INMIGRANTES),Sensibilización / Educación para el Desarrollo,Madrid,2002,"27.000,00"
ASOCIACIÓN DE OCIO Y TIEMPO LIBRE 4K,PROGRAMA DE  ATENCIÓN A FAMILIAS INMIGRANTES CON MENORES A CARGO,Sensibilización / Educación para el Desarrollo,Madrid,2002,"3.000,00"
ASOCIACIÓN COLECTIVO LA CALLE,"SERVICIO DE ACOGIDA,ORIENTACIÓN, ATENCIÓN SOCIEDUCATIVA E INSERCIÓN LABORAL PARA PERSONAS INMIGRANTES EN EL DISTRITO DE TETUAN (MADRID)",Sensibilización / Educación para el Desarrollo,Madrid,2002,"20.000,00"
ASOCIACIÓN EDUCACIÓN CULTURA Y SOLIDARIDAD,MEJORA DE LA CALIDAD DE VIDA DE LOS INMIGRANTES EN SAN CRISTOBAL DE LOS ÁNGELES,Sensibilización / Educación para el Desarrollo,Madrid,2002,"16.000,00"
ASOCIACIÓN AMIGOS DEL PUEBLO SAHARAUI,Ayuda alimentaria de urgencia en los campamentos de refugiados saharahuis,Ayuda Humanitaria,ARGELIA,2002,"56.000,00"
ASOCIACIÓN AMIGOS DEL PUEBLO SAHARAUI,Apoyo al nivel primario de salud con la dotación de 63 depósitos de agua en los campamentos de refugiados saharauis,Ayuda Humanitaria,ARGELIA,2002,"76.930,33"
COOPERACIÓN SOCIAL,"Envío de ropa a Kazajastán, El Salvador y Rumanía",Ayuda Humanitaria,"KAZAJASTÁN, EL SALVADOR Y RUMANÍA",2002,"12.378,18"
 FUNDACIÓN INTERMÓN OXFAM,Apoyo a las familias de militares desmovilizados del Área de Acuartelamiento de Menga. Provincia de Kwanza Sur,Ayuda Humanitaria,ANGOLA,2002,"60.101,12"
ASAMBLEA DE COOPERACIÓN POR LA PAZ (ACP),Proyecto de emergencia para el apoyo a los servicios médicos de urgencias de la Media Luna Roja Palestina en el distrito de Belén,Ayuda Humanitaria,PALESTINA,2002,"42.491,64"
IEPALA,Ayuda alimentaria a hogares rurales palestinos,Ayuda Humanitaria,PALESTINA,2002,"53.075,00"
IEPALA,Abastecimiento de agua para campamentos refugiados saharauis de Djajla,Ayuda Humanitaria,ARGELIA,2002,"55.200,00"
COOPERACIÓN INTERNACIONAL,Proyecto de Ayuda de Emergencia: Adquisición y envío de insulina a Argentina,Ayuda Humanitaria,ARGENTINA,2002,"23.264,91"
ASOCIACIÓN MENSAJEROS DE LA PAZ,Suministro de medicamentos a la población argentina,Ayuda Humanitaria,ARGENTINA,2002,"14.637,53"
CRUZ ROJA ESPAÑOLA - COMUNIDAD DE MADRID,Inseguridad alimentaria en Malawi,Ayuda Humanitaria,MALAWI,2002,"60.102,00"
CRUZ ROJA ESPAÑOLA - COMUNIDAD DE MADRID,Mejora de las Condiciones de Salud de las Comunidades del Noroeste Argentino,Ayuda Humanitaria,ARGENTINA,2002,"133.554,00"
SOLIDARIDAD PARA EL DESARROLLO Y LA PAZ. SODEPAZ,Suministro de medicamentos y material sanitario de emergencia para el Beit Sahour Medical Center,Ayuda Humanitaria,PALESTINA,2002,"42.475,00"
MÉDICOS SIN FRONTERAS,Asistencia sanitaria y nutricional de emergencia a la población de Huila y Uige,Ayuda Humanitaria,ANGOLA,2002,"60.101,00"
BOMBEROS UNIDOS SIN FRONTERAS,Ayuda a la población afectada por la erupción del volcán Nyiragongo,Ayuda Humanitaria,R.D.CONGO,2002,"63.105,00"
BOMBEROS UNIDOS SIN FRONTERAS,"Proyecto de emergencencia ante la catástrofe provocada en Galicia por el ""Prestige""",Ayuda Humanitaria,ESPAÑA,2002,"87.950,00"
FUNDACIÓN RED DEPORTE Y COOPERACIÓN,Atención psicosocial y sanitaria básica en las comunidades afectadas por la guerra en Sierra Leona,Ayuda Humanitaria,SIERRA LEONA,2002,"58.781,00"
ASOCIACION DE AMIGOS DEL PUEBLO SAHARAUI,EQUIPAMIENTO DE TRES CENTROS DE PREESCOLAR (18 AULAS) EN LA WILAYA DE DAJLA EN LOS CAMPAMENTOS DE REFUGIADOS SAHARAUIS,Cooperación al Desarrollo,Argelia,2003,"128.070,00"
ASOCIACIÓN POR LA PAZ Y EL DESARROLLO,"INFRAESTRUCTURAS BASICAS, PRODUCCION Y FORTALECIDOS LOS CANALES DE COMERCIALIZACIÓN., DISTRIBUCION PARA FAMILIAS CAMPESINAS DE SAN ISIDRO, RINCONADA.",Cooperación al Desarrollo,Paraguay,2003,"146.516,00"
MISIÓN AMERICA,CASA TALLER SANTA ROSA DE LIMA,Cooperación al Desarrollo,Perú,2003,"126.423,00"
ISCOD - INSTITUTO SINDICAL  DE COOPERACIÓN AL DESARROLLO,CENTRO DE REHABILITACION PARA LA NIÑEZ EN MENDICIDAD EN EL DEPARTAMENTO DE MADRIZ,Cooperación al Desarrollo,Nicaragua,2003,"231.151,00"
CENTRO DE ESTUDIOS Y SOLIDARIDAD CON AMÉRICA LATINA (CESAL),PROGRAMA INTEGRAL DE APOYO A LAS FAMILIAS ASENTADAS EN LAS LADRILLERAS DE HUACHIPA 3ª fase,Cooperación al Desarrollo,Perú,2003,"250.774,00"
MEDICOS DEL MUNDO,"MEJORA DEL ACCESO A SERVICIOS BÁSICOS DE SALUD EN EL IV SECTOR DE VILLA EL SALVADOR, LIMA",Cooperación al Desarrollo,Perú,2003,"147.747,00"
COOPERACIÓN SOCIAL,DESARROLLO DE LA COMARCA PASO BAJITO-EL PEDREGAL,Cooperación al Desarrollo,República Dominicana,2003,"144.406,00"
AMISTAD EUROPEA. PROYECTO SOLIDARIO (ONGD),PROGRAMA DE APOYO EDUCATIVA A NIÑOS ANDINOS (PAENA) EN CAYAMBE,Cooperación al Desarrollo,Ecuador,2003,"148.990,00"
FEDERACION ESPAÑOLA DE RELIGIOSOS ENSEÑANZA. FERE,,Cooperación al Desarrollo,Perú,2003,"137.000,00"
FUNDACION ESPAÑOLA PARA LA COOPERACION. SOLIDARIDAD INTERNACIONAL,"EDUCACIÓN, SALUD, ESPACIOS SALUDABLES Y PARTICIPACIÓN CIUDADANA EN CUATRO PARROQUIAS RURALES DEL NOROESTE DEL PICHINCHA",Cooperación al Desarrollo,Ecuador,2003,"190.815,00"
SAVE THE CHILDREN,"PROMOCIÓN Y PROTECCIÓN DE LOS DERECHOS DE LAS NIÑAS, NIÑOS Y ADOLESCENTES TRABAJADORES DOMÉSTICOS EN HOGARES DE TERCEROS. BOLIVIA",Cooperación al Desarrollo,Bolivia,2003,"142.704,00"
MANOS UNIDAS. COMITÉ CATÓLICO DE CAMPAÑA CONTRA EL HAMBRE EN EL MUNDO,"AMPLIAR LA OFERTA EDUCATIVA EN EL VALLE DE SAN RAFAEL, PROVINCIA DE ESMERALDAS",Cooperación al Desarrollo,Ecuador,2003,"99.816,00"
FUNDACIÓN INTERED,PROMOCION DEL ACCESO Y DE LA PERMANENCIA DE LAS NIÑAS EN LAS ESCUELAS RURALES DE PERU,Cooperación al Desarrollo,Perú,2003,"126.279,00"
"FUNDACIÓN INTERMON OXFAM, FUNDACIÓN PRIVADA",ACTUALIZACION DE LA EDUCACION PROFESIONAL TECNICA DE FE Y ALEGRIA-BOLIVIA.,Cooperación al Desarrollo,Bolivia,2003,"447.191,00"
FUNDACIÓN CODESPA - FUTURO EN MARCHA,SISTEMA DE INFORMACION SOCIOECONÓMICA Y GENERACION DE INGRESOS PARA LAS FAMILIAS DESPLAZADAS POR LA VIOLENCIA EN AGUABLANCA,Cooperación al Desarrollo,Colombia,2003,"192.639,00"
ASAMBLEA DE COOPERACIÓN POR LA PAZ,"MEJORA DE LAS CONDICIONES DE HABITABILIDAD, SANEAMIENTO Y MEDIOAMBIENTALES EN LA COMUNIDAD DE LA CEIBITA, MUNICIPIO DE SAN LUIS.",Cooperación al Desarrollo,Honduras,2003,"243.483,00"
FUNDACIÓN IBEROAMERICANA EUROPA- CIPIE,ALDEA ECOLÓGICA EN LA CUENCA BAJA DEL RÍO CHILLÓN (PERÚ),Cooperación al Desarrollo,Perú,2003,"105.502,00"
FUNDACIÓN IBEROAMERICANA EUROPA- CIPIE,INSERCIÓN LABORAL DE JÓVENES DE LA CIUDAD DE LIMA EN SITUACIÓN DE EXCLUSIÓN SOCIAL. TALLER DE PANADERÍA.,Cooperación al Desarrollo,Perú,2003,"146.394,00"
PROSALUS,"DESARROLLO NUTRICIONAL DE LA POBLACIÓN DE LA MICROCUENCA DEL CHOTANO, CUTERVO (II Fase)",Cooperación al Desarrollo,Perú,2003,"161.150,00"
JOVENES DEL TERCER MUNDO,VIVIENDAS SOCIALES Y PROMOCIÓN COMUNITARIA PARA FAMILIAS DE ESCASOS RECURSOS ECONÓMICOS: VILLA MADRID (SECTOR CUENCA),Cooperación al Desarrollo,Paraguay,2003,"269.862,00"
VETERMON. VETERINARIOS SIN FRONTERAS,"APOYO A LA PRODUCCION AGROPECUARIA Y COMERCIALIZACIÓN DE LA LECHE EN EL DISTRITO DE KUMI, UGANDA",Cooperación al Desarrollo,Uganda,2003,"76.350,00"
PAZ Y COOPERACIÓN,CONSTRUCCIÓN DE CENTRO SANITARIO Y DE PROTECCION MATERNO-INFANTIL DE KEUR - MOUR,Cooperación al Desarrollo,Mauritania,2003,"95.616,00"
COOPERACIÓN INTERNACIONAL,CREDITO PARA LA MUJER Y DESARROLLO HUMANO INTEGRAL EN EL SUR,Cooperación al Desarrollo,Guatemala,2003,"173.687,00"
PAZ Y TERCER MUNDO,DESARROLLO SOCIOECONOMICO EN COMUNIDADES DE CHONTALES.,Cooperación al Desarrollo,Nicaragua,2003,"122.516,00"
ASOCIACIÓN JUVENIL MADRESELVA,"PROMOCIÓN EDUCATIVA, SOCIAL Y LABORAL PARA MUJERES DE ESCASOS RECURSOS EN SANTA TECLA (EL SALVADOR)-CENTRO MARÍA MAZZARELLO",Cooperación al Desarrollo,El Salvador,2003,"219.428,00"
ESPAÑA CON ACNUR,MEJORA DEL ACCESO AL DERECHO A LA EDUCACION PARA NIÑOS Y NIÑAS DESPLAZADOS.,Cooperación al Desarrollo,Colombia,2003,"212.486,00"
ASOCIACION MENSAJEROS DE LA PAZ,CENTRO DE DIA MENSAJEROS DE LA PAZ EN CHORRILLOS (LIMA) PARA LA  ATENCION DE MENORES Y SUS FAMILIAS EN GRAVE RIESGO SOCIAL,Cooperación al Desarrollo,Perú,2003,"148.926,00"
FUNDACIÓN PADRE ARRUPE (F.P.A.),COLEGIO DE ESPAÑA PADRE ARRUPE. COMEDOR PARA ALUMNOS,Cooperación al Desarrollo,El Salvador,2003,"270.075,00"
ACSUR (ASOCIACIÓN PARA LA COOPERACIÓN CON EL SUR LAS SEGOVIAS),UNIENDO ESFUERZOS PARA LA PREVENCIÓN Y ERRADICACIÓN DE LA VIOLENCIA DE GENERO CONTRA LAS MUJERES.,Cooperación al Desarrollo,Honduras,2003,"260.415,00"
ENTRE CULTURAS - FE Y ALEGRIA,PROMOCIÓN SOCIAL Y EDUCATIVA EN BARRIOS MARGINADOS,Cooperación al Desarrollo,Perú,2003,"299.128,00"
FUNDACION BENEFICA DEL VALLE,ALFABETIZACIÓN Y CAPACITACION INTEGRAL DE MUJERES ANDINAS DE 5 COMUNIDADES RURALES,Cooperación al Desarrollo,Perú,2003,"130.802,00"
OCSI-AMS ORGANIZACIÓN DE COOPERACIÓN Y SOLIDARIDAD INTERNACIONAL,GESTION INTEGRAL Y FORTALECIMIENTO ORGANIZATIVO DE LA MICRO CUENCA HUASACMAYO. REPLICA DE EXPERIENCIAS VALIDADAS,Cooperación al Desarrollo,Perú,2003,"135.845,00"
SOLIDARIOS PARA EL DESARROLLO,CONSOLIDACION Y MEJORA DE LA ESCOLARIZACION Y EDUCACION EN LA REGION ATLANTICA DE NICARAGUA,Cooperación al Desarrollo,Nicaragua,2003,"127.223,00"
INGENIERIA SIN FRONTERAS-ASOCIACION PARA EL DESARROLLO,PROGRAMA HIDROSANITARIO DEL VALLE DE MANGOLA,Cooperación al Desarrollo,Tanzania,2003,"245.796,00"
FUNDACION HUMANISMO Y DEMOCRACIA,"CONSTRUCCION DE 70 VIVIENDAS SOCIALES PARA MUJERES Y SUS FAMILIAS EN LA COMUNIDAD DE ANGOSTURA, PROVINCIA INDEPENDENCIA.",Cooperación al Desarrollo,República Dominicana,2003,"350.000,00"
"AESCO. AMÉRICA, ESPAÑA, SOLIDARIDAD Y COOPERACIÓN",ESCUELAS DE ARTES Y OFICIOS EN APOYO A LA INSERCION LABORAL A POTENCIALES INMIGRANTES COLOMBIANOS.,Cooperación al Desarrollo,Colombia,2003,"96.149,00"
CIDEAL,INSERCION LABORAL DE MADRES SOLTERAS JEFAS DE HOGAR Y MUJERES EN CONDICIONES CRITICAS DE POBREZA EN EL BARRIO MARGINADO DE CANCINO ADENTRO,Cooperación al Desarrollo,República Dominicana,2003,"174.651,00"
"MPDL - MOVIMIENTO POR LA PAZ, EL DESARME Y LA LIBERTAD",MEJORADA LA SITUACIÓN EDUCATIVA DE LOS MENORES DE LA COMUNIDAD RURAL DE ROUADI,Cooperación al Desarrollo,Marruecos,2003,"127.050,00"
ASAMBLEA DE MADRID DE CRUZ ROJA ESPAÑOLA,LUCHA CONTRA LA HAMBRUNA Y EL CÓLERA EN MALAWI,Cooperación al Desarrollo,Malawi,2003,"170.790,00"
ASAMBLEA DE MADRID DE CRUZ ROJA ESPAÑOLA,MEJORA DE LA SEGURIDAD ALIMENTARIA Y AUMENTO DEL NIVEL DE RENTA DIRIGIDO A LAS COMUNIDADES MÁS VULNERABLES DEL MUNICIPIO DE TEJUTLA,Cooperación al Desarrollo,Guatemala,2003,"152.361,00"
FUNDACIÓN JUAN CIUDAD,MODERNIZACION DE LAS INFRAESTRUCTURAS HOSPITALARIAS EN EL DEPARTAMENTO DE CHUQUISACA (SUCRE-BOLIVIA),Cooperación al Desarrollo,Bolivia,2003,"96.000,00"
UNEFA. UNIÓN DE ESCUELAS FAMILIARES AGRARIAS,DOS CENTROS DE FORMACION PARA JOVENES Y ADULTOS DESPLAZADOS POR EL CONFLICTO ARMADO.,Cooperación al Desarrollo,Colombia,2003,"231.105,00"
"OSPAAAL.ORGANIZACION SOLIDARIDAD PUEBLOS ASIA, AFRICA Y AMERICA LATINA","VIVIENDAS CONSTRUIDAS PARA FAMILIAS DE ESCASOS RECURSOS ECONOMICOS, FORTALECIMIENTO DE LA MICROEMPRESA DISTRITO CENTRAL Y TATUMBLA.",Cooperación al Desarrollo,Honduras,2003,"305.471,00"
ARQUITECTOS SIN FRONTERAS-ASF-E,"ABASTECIMIENTO DE AGUA Y SALUD AMBIENTAL EN LAS COMUNIDADES RURALES DE GUAYABAL,VICTORINA Y JENGIBRE (II Fase)",Cooperación al Desarrollo,República Dominicana,2003,"193.438,00"
VOLUNTARIADO DE MADRES DOMINICANAS,ORIENTACION Y CAPACITACION PARA MUJERES MIGRANTES DOMINICANAS EN ESPAÑA.,Cooperación al Desarrollo,República Dominicana,2003,"45.056,00"
CANDELITA,FORMACION Y AUTOEMPLEO EN COCINA MESA Y BAR PARA MUJERES DE SOPO,Cooperación al Desarrollo,Colombia,2003,"62.258,00"
ASOCIACIÓN WATU-ACCIÓN INDÍGENA,CAPACITACION EN ORGANIZACION Y LIDERAZGO CON JOVENES NATIVOS ASHANINKAS DEL DISTRITO DE RIO TAMBO EN PERU,Cooperación al Desarrollo,Perú,2003,"31.981,00"
MEDICUS MUNDI MADRID,PREVENCION DEL VIH/SIDA ENTRE ADOLESCENTES Y JOVENES DE LA PROVINCIA DE EL SEYBO (SEGUNDA FASE),Cooperación al Desarrollo,República Dominicana,2003,"59.159,00"
ASOCIACIÓN PARA LA INTEGRACIÓN DEL MENOR PAIDEIA,FUNCIONAMIENTO DEL CENTRO POLIVALENTE PARA MENORES EN SITUACION DE RIESGO EN TANGER (MARRUECOS),Cooperación al Desarrollo,Marruecos,2003,"172.302,00"
FUNDACIÓN AYUDA EN ACCIÓN,"DOTACION DE ENERGÍA ELECTRICA CON PANELES SOLARES A COMUNIDADES RURALES DE BAMBAMARCA, CHOTA Y CUTERVO",Cooperación al Desarrollo,Perú,2003,"164.639,00"
FAD. FUNDACIÓN DE AYUDA CONTRA LA DROGADICCION,"CENTROS PILOTO DE APOYO AL DESARROLLO COMUNITARIO, EN LOS MACRODISTRITOS 5 Y 7 DE LA CIUDAD DE LA PAZ, CON EXTENSION DE PROGRAMAS DE FORMACIÓN",Cooperación al Desarrollo,Bolivia,2003,"229.323,00"
BOMBEROS UNIDOS SIN FRONTERAS,"CONSTRUCCION, EQUIPAMIENTO Y PUESTA EN MARCHA DE UN CENTRO DE RESPUESTA ANTE EMERGENCIAS PARA LA INSTITUCION DE BOMBEROS DE IQUITOS (PERU)",Cooperación al Desarrollo,Perú,2003,"214.166,00"
COMISION DERECHOS HUMANOS HISPANO GUATEMALTECA,COSECHA DE AGUA DE LLUVIA A TRAVES DE LA IMPLEMENTACION DE CISTERNAS RECOLECTORAS DE AGUA EN LAS MICRO-REGIONES I Y II.,Cooperación al Desarrollo,Guatemala,2003,"152.758,00"
PUEBLOS EN DESARROLLO (PUEDES),"FORTALECIMIENTO, MEJORA A LA CALIDAD EDUCATIVA DE CENTRO DE FORMACIÓN DE ARTESANOS (RABINAL, BAJA VERAPAZ) MEDIANTE REEQUIPAMIENTO DE TALLERES",Cooperación al Desarrollo,Guatemala,2003,"58.040,00"
ASOCIACION COMUNION PROMOCION DESARROLLO LIBERACION. COPRODELI,FORMACION OCUPACIONAL DE ADOLESCENTES DE EDUCACION SECUNDARIA Y JOVENES DESOCUPADOS QUE VIVEN EN EXTREMA POBREZA.,Cooperación al Desarrollo,Perú,2003,"89.127,00"
ASOCIACION MANO AMIGA,"CREACION DE 10 BANCOS COMUNALES PARA AUTOGENERACION DE EMPLEO DE 280 MUJERES URBANO-MARGINALES DE BASTION POPULAR, LA FLORIDA Y PROSPERINA.",Cooperación al Desarrollo,Ecuador,2003,"60.100,00"
ASOC.INVESTIGACION Y ESPECIALIZACION SOBRE TEMAS IBEROAMERICANOS AIETI,IMPULSANDO LAS RELACIONES EQUITATIVAS ENTRE VARONES Y MUJERES EN LOS ESPACIOS PÚBLICOS Y PRIVADOS. CAPACITACIÓN Y SENSIBILIZACIÓN. II FASE.,Cooperación al Desarrollo,Perú,2003,"141.164,00"
FUNDACION IBEROAMERICANA PARA EL DESARROLLO -F.I.D.E.,"PROYECTO DE DESARROLLO SOSTENIBLE EN DOS MICROCUENCAS DEL DEPARTAMENTO DE LA PAZ, HONDURAS",Cooperación al Desarrollo,Honduras,2003,"114.308,00"
CIRCULO SOLIDARIO DE ESPAÑA,MEJORA DEL SISTEMA SANITARIO DEL PUESTO DE SALUD HUAMANA Y DE LA MICRO RED PUBLICA DE SALUD DEL DISTRITO VICTOR LARCO,Cooperación al Desarrollo,Perú,2003,"59.553,00"
ECOSOL-SORD,PROGRAMA DE APOYO A LA EDUCACION ESPECIAL. II FASE,Cooperación al Desarrollo,Perú,2003,"30.801,00"
FUNDACION IUVE,ORIENTACION Y CAPACITACION A JOVENES DE TRES COMUNIDADES MARGINALES DE GUAYAQUIL Y DESARROLLO DE SUS ACTIVIDADES MICROEMPRESARIALES,Cooperación al Desarrollo,Ecuador,2003,"132.750,00"
ASOCIACION CULTURAL POR COLOMBIA E IBEROAMERICA. ACULCO,PREVENCIÓN DE LA INMIGRACIÓN DE LA POBLACIÓN FEMENINA DE ALTO RIESGO EN EL EJE CAFETERO Y EN BOGOTÁ (COLOMBIA),Cooperación al Desarrollo,Colombia,2003,"105.000,00"
FUNDACION VICENTE FERRER,CONSTRUCCION DE 20 ESCUELAS RURALES EN EL DISTRITO DE ANANTAPUR. INDIA,Cooperación al Desarrollo,India,2003,"109.092,00"
FUNDACIÓN DESARROLLO SOSTENIDO. FUNDESO,INSERCION SOCIO-PRODUCTIVA DE LA MUJER RURAL TETUANI MEDIANTE EL APOYO A LA EDUCACION Y A LA FORMACION PROFESIONAL.,Cooperación al Desarrollo,Marruecos,2003,"224.737,00"
UNIÓN DE COOPERATIVAS MADRILEÑAS DE TRABAJO ASOCIADO,"FORTALECIMIENTO ECONOMICO, SOCIAL, AMBIENTAL Y ALIMENTARIO DE 15 GRUPOS PROMOTORES COOPERATIVOS DE LA COMUNIDAD DE LECHECUAGO, MUNICIP. LEON",Cooperación al Desarrollo,Nicaragua,2003,"126.978,00"
FUNDACION PARA EL DESARROLLO DE LA ENFERMERIA,IMPLANTACION DE UN PROGRAMA DE FORMACION CONTINUADA DE ENFERMERIA EN ATENCION DE URGENCIAS-EMERGENCIAS HOSPITALARIAS EN NICARAGUA.,Cooperación al Desarrollo,Nicaragua,2003,"54.697,00"
FUNDACIÓN MADRID PAZ Y SOLIDARIDAD,FORTALECIMIENTO Y CONSOLIDACION ORGANIZACIONAL ECONOMICA Y SOCIAL DEL PROGRAMA PRODUCTIVO ALIMENTARIO PARA TRES DEPARTAMENTOS,Cooperación al Desarrollo,Nicaragua,2003,"216.819,00"
FUNDACION AMREF-ESPAÑA,PROGRAMA COMUNITARIO PARA LA MEJORA DE LAS CONDICIONES HIDROSANITARIAS Y LA EDUCACIÓN SANITARIA EN LAS ESCUELAS DEL DTO. DE KABALE.,Cooperación al Desarrollo,Uganda,2003,"115.619,00"
ASOCIACIÓN ALFASOL DE COOPERACIÓN Y DESARROLLO.,CENTRO DE CAPACITACION Y SERVICIOS PARA EL DESARROLLO RURAL,Cooperación al Desarrollo,Nicaragua,2003,"81.109,00"
SETEM,PROMOCIÓN ECONÓMICA DE MICROEMPRESAS Y COOPERATIVAS MEDIANTE UN FONDO ROTATORIO Y EQUIPOS DE TRANSFORMACIÓN,Cooperación al Desarrollo,Honduras,2003,"38.996,00"
FUNDACION DESARROLLO INTEGRAL DE LOS PUEBLOS.,CENTRO PARA EL DESARROLLO INTEGRAL DE JOVENES EN RIESGO DE EXCLUSIÓN SOCIAL,Cooperación al Desarrollo,Perú,2003,"150.253,00"
FUNDACION ANESVAD,CAPACITACIÓN Y ATENCIÓN COMUNITARIA EN SALUD EN BARRIOS DESFAVORECIDOS DEL MUNICIPIO DE SANTO DOMINGO ESTE,Cooperación al Desarrollo,República Dominicana,2003,"38.287,00"
ASOCIACION MUNDO COOPERANTE.,"CONSTRUCCIÓN, DOTACIÓN, PUESTA EN FUNCIONAMIENTO DE MÓDULOS DE ATENCIÓN, CAPACITACIÓN PARA JÓVENES HIJOS DE FAMILIAS DESPLAZADAS Y VULNERABLES",Cooperación al Desarrollo,Colombia,2003,"67.547,00"
ASOCIACION PARA LA COOPERACIÓN CON MINUSVÁLIDOS NECESITADOS DEL MUNDO,MEJORA DE LA CALIDAD DE SERVICIOS DEL PABELLON DE SORDOS DEL CENTRO HANAN.,Cooperación al Desarrollo,Marruecos,2003,"42.008,00"
FUNDACION RUBEN DARIO-CAMPO CIUDAD.,FORTALECIMIENTO DEL PROGRAMA PRODUCTIVO ALIMENTARIO EN DOS COOPERATIVAS DEL MUNICIPIO DE CHINANDEGA DEPARTAMENTO DE CHINANDEGA NICARAGUA,Cooperación al Desarrollo,Nicaragua,2003,"82.666,00"
ASOCIACIÓN PAZ CON DIGNIDAD,CAPACITACION E IMPLEMENTACION DE CENTROS COMUNALES DE SEGURIDAD ALIMENTARIA EN COMUNIDADES CAMPESINAS DE LOS DTOS. CCATCCA Y HUANOQUITE.,Cooperación al Desarrollo,Perú,2003,"47.656,00"
ASOCIACION DE AYUDA MANO A MANO,GUARDERIA INFANTIL PEQUEÑO MUNDO.,Cooperación al Desarrollo,Ecuador,2003,"24.573,00"
RED IBEROAMERICANA DE ONGS. QUE TRABAJAN EN DROGODEPENDENCIAS.,FORMACION Y PROMOCION PARA LA PROTECCION INTEGRAL DE 12.000 NIÑOS/AS EN SITUACIÓN DE VULNERABILIDAD SOCIAL EN 2 PROVINCIAS DE ARGENTINA.,Cooperación al Desarrollo,Argentina,2003,"59.600,00"
FUNDACION TIERRA DE HOMBRES ESPAÑA.,LUCHA CONTRA LA DESNUTRICIÓN CRÓNICA INFANTIL.,Cooperación al Desarrollo,Perú,2003,"47.729,00"
RED DEPORTE Y COOPERACION,FOMENTO DE LA INTEGRACION SOCIAL DE LOS JOVENES DE LA CIUDAD DE LWENA (ANGOLA),Cooperación al Desarrollo,Angola,2003,"74.790,00"
"FUNDACION ALIANZA PARA EL DESARROLLO, LA EDUCACION Y LA CULTURA",FORMACIÓN Y CREACIÓN DE FUENTES DE EMPLEO PARA LA CONTENCIÓN MIGRATORIA,Cooperación al Desarrollo,Ecuador,2003,"30.000,00"
MÉDICOS DEL MUNDO,ATENCIÓN SOCIAL  SANITARIA A PERSONAS INMIGRANTES QUE EJERCEN PROSTITUCIÓN,Sensibilización / Educación para el Desarrollo,Madrid,2003,"50.000,00"
MÉDICOS DEL MUNDO,APOYO A LA INTEGRACIÓN SOCIAL Y SANITARIA DE LAS PERSONAS INMIGRANTES EN SITUACIÓN VULNERABLE,Sensibilización / Educación para el Desarrollo,Madrid,2003,"35.000,00"
COLEGIO M.INMACULADA DE MADRID- FRANCISCANAS DE LA PURÍSIMA CONCEPCIÓN,MEJORA SOCIOEDUCATIVA PARA HIJOS DE INMIGRANTES ACOGIDOS EN EL CENTRO HOGAR MARÍA INMACULADA,Sensibilización / Educación para el Desarrollo,Madrid,2003,"69.000,00"
ASAMBLEA DE COOPERACIÓN POR LA PAZ,PROGRAMA DE DESARROLLO SOCIOLABORAL DE MUJERES INMIGRANTES RESIDENTES EN EL MUNICIPIO DE MADRID.,Sensibilización / Educación para el Desarrollo,Madrid,2003,"30.000,00"
APRAMP PARA LA ATENCIÓN PREVENCIÓN Y REINSERCION MUJER PROSTITUIDA,UNIDAD MÓVIL A FAVOR DE PERSONAS INMIGRANTES QUE EJERCEN LA PROSTITUCIÓN EN EL MUNICIPIO DE MADRID,Sensibilización / Educación para el Desarrollo,Madrid,2003,"110.000,00"
MADRID PUERTA ABIERTA,BIENVENIDO AMIGO: CONVIVIENDO APRENDEMOS,Sensibilización / Educación para el Desarrollo,Madrid,2003,"18.000,00"
FUNDACIÓN IBEROAMERICANA EUROPA- CIPIE,CASA DE ACOGIDA PARA MUJERES INMIGRANTES CON CARGAS FAMILIARES NO COMPARTIDAS,Sensibilización / Educación para el Desarrollo,Madrid,2003,"40.000,00"
ACISJF-FEDERACIÓN CATÓLICA ESPAÑOLA SERVICIOS A LA JUVENTUD FEMENINA,SOS MUJERES JÓVENES INMIGRANTES,Sensibilización / Educación para el Desarrollo,Madrid,2003,"35.000,00"
ASOCIACION MENSAJEROS DE LA PAZ,FORMACION Y CAPACITACION PROFESIONAL DE TRABAJADORAS DEL HOGAR,Sensibilización / Educación para el Desarrollo,Madrid,2003,"30.000,00"
KARIBU,INTEGRACION Y PROTECCIÓN HUMANITARIA,Sensibilización / Educación para el Desarrollo,Madrid,2003,"73.000,00"
ASAMBLEA DE MADRID DE CRUZ ROJA ESPAÑOLA,PISO RESIDENCIA PARA MUJERES INMIGRANTES CON CARGAS FAMILIARES NO COMPARTIDAS 2003,Sensibilización / Educación para el Desarrollo,Madrid,2003,"48.725,00"
ASAMBLEA DE MADRID DE CRUZ ROJA ESPAÑOLA,APOYO A LA INTEGRACIÓN SOCIAL DE FAMILIAS INMIGRANTES,Sensibilización / Educación para el Desarrollo,Madrid,2003,"38.000,00"
